Municipio,mean,median,sum
Governador Newton Bello,2.6666666666666665,3.0,8
Governador Nunes Freire,56.0,41.0,672
Grajaú,3.375,1.5,27
Graça Aranha,1.0,1.0,1
Guajará,2329.1666666666665,2053.5,27950
Guajará-Mirim,821.8333333333334,543.0,9862
Guarantã do Norte,8.3,5.0,83
Guimarães,54.714285714285715,41.0,383
Guiratinga,1.375,1.0,11
Gurupi,1.0,1.0,1
Gurupá,25.5,22.0,306
Humaitá,1669.6666666666667,1205.5,20036
Humberto de Campos,4.75,3.0,19
Icatu,35.57142857142857,18.0,249
Igarapé Grande,1.0,1.0,2
Igarapé do Meio,1.5,1.5,3
Igarapé-Açu,3.1,3.0,31
Igarapé-Miri,9.0,5.0,81
Imperatriz,2.3333333333333335,1.0,21
Inhangapi,1.6666666666666667,1.0,10
Ipiranga do Norte,1.0,1.0,2
Ipixuna,2870.25,2349.5,34443
Ipixuna do Pará,1632.6,1064.0,16326
Iracema,522.3333333333334,539.0,6268
Iranduba,1615.75,1280.5,19389
Irituia,27.75,14.0,222
Itacoatiara,1504.5833333333333,525.5,18055
Itaguatins,3.6666666666666665,2.0,11
Itaipava do Grajaú,3.2222222222222223,2.0,29
Itaituba,6991.5,6753.0,83898
Itamarati,709.9166666666666,554.5,8519
Itanhangá,1.3333333333333333,1.0,4
Itapecuru Mirim,10.0,10.0,20
Itapiranga,111.16666666666667,23.5,1334
Itapuã do Oeste,603.0833333333334,423.5,7237
Itaubal,10.5,10.0,126
Itaúba,4.75,2.5,19
Itinga do Maranhão,3.875,4.0,31
Itiquira,1.5,1.5,3
Itupiranga,370.0,70.0,4440
Jacareacanga,3355.1666666666665,3504.5,40262
Jaciara,1.0,1.0,1
Jacundá,124.0909090909091,83.0,1365
Japurá,487.0,461.5,5844
Jaru,30.333333333333332,17.5,364
Jatobá,1.0,1.0,2
Jauru,1.0,1.0,1
Jenipapo dos Vieiras,34.0,5.5,136
Ji-Paraná,39.25,34.0,471
Jordão,73.33333333333333,37.5,880
Joselândia,3.3333333333333335,2.0,30
João Lisboa,1.0,1.0,1
Juara,28.666666666666668,6.0,172
Juarina,2.0,2.0,2
Junco do Maranhão,16.857142857142858,10.0,118
Juruena,8.833333333333334,5.5,53
Juruti,3.625,3.0,29
Juruá,507.75,415.0,6093
Juscimeira,1.0,1.0,2
Jutaí,1327.0833333333333,1220.0,15925
Juína,82.0,14.5,820
Lago Verde,17.666666666666668,1.0,53
Lago da Pedra,3.5,2.0,35
Lago do Junco,1.0,1.0,1
Lago dos Rodrigues,1.0,1.0,1
Lagoa Grande do Maranhão,5.0,2.0,25
Lajeado Novo,1.0,1.0,1
Laranjal do Jari,255.25,258.0,3063
Lima Campos,1.3333333333333333,1.0,4
Limoeiro do Ajuru,324.9,190.5,3249
Lucas do Rio Verde,38.375,2.5,307
Luís Domingues,14.25,13.5,57
Lábrea,3571.9166666666665,2855.0,42863
Macapá,1333.25,1250.0,15999
Machadinho D'Oeste,1829.5833333333333,1293.5,21955
Magalhães Barata,62.75,42.5,502
Manacapuru,1436.0,585.0,17232
Manaquiri,157.33333333333334,104.5,1888
Manaus,13647.416666666666,10162.5,163769
Manicoré,1913.8333333333333,737.0,22966
Manoel Urbano,3.2222222222222223,2.0,29
Marabá,374.0833333333333,88.0,4489
Maracanã,128.4,97.5,1284
Maracaçumé,29.75,16.0,357
Marajá do Sena,2.7142857142857144,2.0,19
Maranhãozinho,3.6,3.0,36
Marapanim,208.11111111111111,118.0,1873
Maraã,631.5833333333334,508.5,7579
Marcelândia,10.0,2.0,60
Marechal Thaumaturgo,100.75,78.0,1209
Marianópolis do Tocantins,1.0,1.0,2
Marituba,8.181818181818182,3.0,90
Mata Roma,1.0,1.0,2
Mateiros,1.0,1.0,1
Matinha,1.75,1.5,7
Matupá,2.5555555555555554,2.0,23
Matões,1.0,1.0,2
Matões do Norte,19.666666666666668,15.0,59
Maurilândia do Tocantins,1.0,1.0,2
Maués,645.3333333333334,522.5,7744
Mazagão,1921.0833333333333,2080.5,23053
Medicilândia,193.66666666666666,196.0,1743
Melgaço,143.66666666666666,39.0,1724
Milagres do Maranhão,1.0,1.0,1
Ministro Andreazza,2.3333333333333335,2.0,14
Miranda do Norte,1.0,1.0,1
Miranorte,1.0,1.0,1
Mirante da Serra,29.444444444444443,10.0,265
Mirassol d'Oeste,1.0,1.0,4
Mirinzal,3.0,4.0,9
Mocajuba,138.58333333333334,7.0,1663
Moju,775.4545454545455,905.0,8530
Mojuí dos Campos,2.0,2.0,4
Monte Alegre,35.25,16.5,423
Monte Negro,185.75,92.5,2229
Monção,101.16666666666667,5.0,607
Morros,4.5,3.5,18
Muaná,232.08333333333334,227.5,2785
Mucajaí,691.75,767.5,8301
Mâncio Lima,6306.25,5902.5,75675
Mãe do Rio,4.8,4.0,24
Natividade,1.0,1.0,1
Nhamundá,230.55555555555554,84.0,2075
Nobres,1.3333333333333333,1.0,4
Normandia,81.83333333333333,87.0,982
Nova Bandeirantes,48.333333333333336,35.0,580
Nova Brasilândia,1.0,1.0,1
Nova Brasilândia D'Oeste,32.09090909090909,5.0,353
Nova Canaã do Norte,1.0,1.0,2
Nova Esperança do Piriá,310.55555555555554,129.0,2795
Nova Guarita,4.666666666666667,3.0,42
Nova Ipixuna,102.44444444444444,94.0,922
Nova Lacerda,12.142857142857142,5.0,85
Nova Mamoré,1012.1666666666666,325.0,12146
Nova Marilândia,1.0,1.0,1
Nova Maringá,3.8,4.0,19
Nova Monte Verde,1.0,1.0,2
Nova Mutum,4.5,3.5,18
Nova Nazaré,1.0,1.0,2
Nova Olinda,1.0,1.0,1
Nova Olinda do Maranhão,13.181818181818182,6.0,145
Nova Olinda do Norte,100.5,21.5,1206
Nova Olímpia,2.0,2.0,4
Nova Santa Helena,1.5,1.5,3
Nova Timboteua,1.5,1.0,6
Nova Ubiratã,31.25,2.5,125
Nova União,11.857142857142858,11.0,83
Nova Xavantina,1.0,1.0,2
Novo Airão,458.75,345.0,5505
Novo Aripuanã,886.3333333333334,269.5,10636
Novo Horizonte do Norte,1.25,1.0,5
Novo Horizonte do Oeste,2.4285714285714284,2.0,17
Novo Mundo,4.0,2.0,36
Novo Progresso,1301.25,1386.0,15615
Novo Repartimento,479.1666666666667,422.5,5750
Oeiras do Pará,4766.0,102.0,52426
Oiapoque,2344.9166666666665,2002.5,28139
Olho d'Água das Cunhãs,2.0,1.0,10
Olinda Nova do Maranhão,2.0,2.0,6
Oriximiná,551.4166666666666,47.5,6617
Ourilândia do Norte,150.41666666666666,62.0,1805
Ouro Preto do Oeste,11.0,9.0,132
Ourém,6.333333333333333,4.5,38
Pacajá,3049.1666666666665,1620.0,36590
Pacaraima,394.3333333333333,245.5,4732
Palestina do Pará,3.5,1.5,28
Palmas,1.6666666666666667,1.5,10
Palmeirândia,1.0,1.0,4
Paragominas,928.4166666666666,313.5,11141
Paraibano,1.5,1.0,6
Paranatinga,1.25,1.0,5
Paranaíta,3.25,1.5,26
Parauapebas,43.333333333333336,24.0,520
Parecis,2.4,3.0,12
Parintins,21.416666666666668,13.5,257
Parnarama,25.0,14.0,75
Pastos Bons,2.0,2.0,4
Pauini,766.0833333333334,519.5,9193
Paulo Ramos,2.8333333333333335,2.0,17
Paço do Lumiar,8.166666666666666,1.0,49
Pedra Branca do Amapari,1240.5,1213.0,14886
Pedra Preta,1.0,1.0,1
Pedreiras,1.75,1.5,7
Pedro do Rosário,24.333333333333332,7.0,219
Peixe-Boi,1.4,1.0,7
Peixoto de Azevedo,9.4,6.5,94
Penalva,18.333333333333332,8.0,55
Peri Mirim,2.0,2.0,2
Peritoró,7.777777777777778,2.0,70
Pimenta Bueno,20.727272727272727,13.0,228
Pimenteiras do Oeste,24.8,15.5,248
Pindaré-Mirim,33.6,3.0,168
Pinheiro,11.125,9.0,89
Pio XII,1.75,1.5,7
Pirapemas,26.0,11.0,130
Piraquê,1.0,1.0,1
Pium,8.0,8.0,8
Piçarra,2.0,2.0,8
Placas,63.36363636363637,27.0,697
Plácido de Castro,248.75,97.5,2985
Poconé,2.4,2.0,12
Ponta de Pedras,307.0833333333333,176.5,3685
Pontal do Araguaia,1.0,1.0,2
Pontes e Lacerda,2.375,1.5,19
Portel,1288.3333333333333,1305.5,15460
Porto Acre,88.41666666666667,62.5,1061
Porto Alegre do Norte,1.0,1.0,1
Porto Franco,2.25,1.0,9
Porto Grande,1739.1666666666667,1909.0,20870
Porto Nacional,2.0,2.0,2
Porto Rico do Maranhão,5.5,5.5,11
Porto Velho,13293.75,12202.0,159525
Porto Walter,311.3333333333333,331.0,3736
Porto de Moz,418.0,311.5,4180
Porto dos Gaúchos,1.0,1.0,2
Poção de Pedras,1.25,1.0,5
Pracuúba,29.583333333333332,27.5,355
Praia Norte,1.0,1.0,1
Prainha,656.2727272727273,373.0,7219
Presidente Dutra,2.0,2.0,14
Presidente Figueiredo,1657.4166666666667,1179.5,19889
Presidente Juscelino,30.666666666666668,22.0,184
Presidente Médici,21.0625,14.5,337
Presidente Sarney,167.0,114.5,1336
Presidente Vargas,2.857142857142857,1.0,20
Primavera,11.75,8.0,47
Primavera de Rondônia,3.2857142857142856,2.0,23
Primavera do Leste,1.0,1.0,1
Primeira Cruz,3.0,3.0,3
Quatipuru,7.333333333333333,8.0,22
Querência,4.166666666666667,2.5,25
Raposa,21.6,8.0,108
Redenção,6.75,5.0,81
Reserva do Cabaçal,1.0,1.0,1
Riachinho,3.0,3.0,6
Ribamar Fiquene,1.0,1.0,1
Ribeirão Cascalheira,5.5,5.5,11
Ribeirãozinho,3.3333333333333335,2.0,10
Rio Branco,158.84615384615384,130.0,2065
Rio Crespo,270.0833333333333,89.0,3241
Rio Maria,1.625,1.5,13
Rio Preto da Eva,1422.0,1356.5,17064
Rodrigues Alves,4512.75,4311.0,54153
Rolim de Moura,8.2,8.0,82
Rondolândia,87.0,30.0,957
Rondon do Pará,97.72727272727273,70.0,1075
Rondonópolis,2.5714285714285716,2.0,18
Rorainópolis,1544.9166666666667,1171.0,18539
Rosário,11.666666666666666,10.5,70
Rosário Oeste,1.0,1.0,1
Rurópolis,10.166666666666666,8.0,122
Salinópolis,19.571428571428573,18.0,137
Salto do Céu,1.0,1.0,1
Salvaterra,5.0,2.0,35
Sampaio,1.0,1.0,1
Sandolândia,1.0,1.0,1
Santa Bárbara do Pará,2.4,2.0,24
Santa Carmem,1.0,1.0,1
